,sentence,outlet,topic,type,group_id,num_sent,Label_bias,Label_opinion,biased_words,outliers,tokenized_sentence
10,"Defending Democracy Together, a group of “Never Trump” conservatives including commentator Bill Kristol, created Republican Voters Against Trump. It is among several groups on the right ― including the Lincoln Project, which was co-founded by attorney George Conway and GOP strategists Rick Wilson and Steve Schmidt ― targeting the president as the election approaches.",huffpost,elections-2020,left,1,1,Non-biased,Entirely factual,[],"{'commentator', 'schmidt', 'lincoln', 'wilson', 'george', 'steve', 'targeting', 'conway', 'republican', 'president', 'co-founded', 'strategists'}","['defending', 'democracy', 'together,', 'a', 'group', 'of', '“never', 'trump”', 'conservatives', 'including', 'commentator', 'bill', 'kristol,', 'created', 'republican', 'voters', 'against', 'trump.', 'it', 'is', 'among', 'several', 'groups', 'on', 'the', 'right', '―', 'including', 'the', 'lincoln', 'project,', 'which', 'was', 'co-founded', 'by', 'attorney', 'george', 'conway', 'and', 'gop', 'strategists', 'rick', 'wilson', 'and', 'steve', 'schmidt', '―', 'targeting', 'the', 'president']"
11,"Voting in quasi-militarized settings was not confined to the nation’s capital. In Philadelphia, on election eve, the mayor announced a curfew that was slated to take effect an hour before its polls closed, but subsequently delayed it after an outcry by other city officials and activists. ",alternet,elections-2020,left,1,1,Biased,Somewhat factual but also opinionated,['quasi-militarized'],"{'announced', 'mayor', 'settings', 'polls', 'slated', 'curfew', 'outcry'}","['voting', 'in', 'quasi-militarized', 'settings', 'was', 'not', 'confined', 'to', 'the', 'nation’s', 'capital.', 'in', 'philadelphia,', 'on', 'election', 'eve,', 'the', 'mayor', 'announced', 'a', 'curfew', 'that', 'was', 'slated', 'to', 'take', 'effect', 'an', 'hour', 'before', 'its', 'polls', 'closed,', 'but', 'subsequently', 'delayed', 'it', 'after', 'an', 'outcry', 'by', 'other', 'city', 'officials', 'and', 'activists.', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
12,"But one glaring absentee was Trump, who not only declined an invitation but failed to send any American representative at all.",msnbc,vaccines,left,1,1,Biased,No agreement,"['glaring', 'failed']","{'glaring', 'declined', 'american', 'absentee', 'invitation'}","['but', 'one', 'glaring', 'absentee', 'was', 'trump,', 'who', 'not', 'only', 'declined', 'an', 'invitation', 'but', 'failed', 'to', 'send', 'any', 'american', 'representative', 'at', 'all.', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
13,"Planned Parenthood, the abortion industry giant says the “white supremacy” and “systemic bias in policing” that “took George Floyd’s life” are the same factors involved in “attacks” on women’s abortion rights.",breitbart,abortion,right,1,1,Non-biased,Expresses writer’s opinion,['abortion'],"{'george', 'rights.'}","['planned', 'parenthood,', 'the', 'abortion', 'industry', 'giant', 'says', 'the', '“white', 'supremacy”', 'and', '“systemic', 'bias', 'in', 'policing”', 'that', '“took', 'george', 'floyd’s', 'life”', 'are', 'the', 'same', 'factors', 'involved', 'in', '“attacks”', 'on', 'women’s', 'abortion', 'rights.', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
14,"From the Rio Grande Valley in Texas to the Southern California coast, the Trump administration continues  separating migrant families at rates that alarm immigration attorneys and advocates, even though a federal judge barred family separations as a systemic policy.",usa-today,immigration,center,1,1,Biased,Entirely factual,"['alarm', 'separating']","{'grande', 'separating', 'migrant', 'policy.', 'attorneys', 'alarm', 'texas', 'barred', 'separations', 'systemic', 'california', 'trump', 'valley'}","['from', 'the', 'rio', 'grande', 'valley', 'in', 'texas', 'to', 'the', 'southern', 'california', 'coast,', 'the', 'trump', 'administration', 'continues', ' ', 'separating', 'migrant', 'families', 'at', 'rates', 'that', 'alarm', 'immigration', 'attorneys', 'and', 'advocates,', 'even', 'though', 'a', 'federal', 'judge', 'barred', 'family', 'separations', 'as', 'a', 'systemic', 'policy.', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
15,"Track and field athletes don’t typically earn the lucrative salaries seen in the NBA, NFL, tennis or international soccer.",msnbc,sport,left,1,1,Biased,Somewhat factual but also opinionated,['lucrative'],"{'salaries', 'athletes', 'tennis'}","['track', 'and', 'field', 'athletes', 'don’t', 'typically', 'earn', 'the', 'lucrative', 'salaries', 'seen', 'in', 'the', 'nba,', 'nfl,', 'tennis', 'or', 'international', 'soccer.', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
16,"Cuba’s health ministry initially vowed an investigation into Paloma Dominguez Caballero’s death; last week, state media published a report essentially absolving the government of any wrongdoing, categorically stating that nothing was wrong with the vaccine Dominguez received.",breitbart,vaccines,right,1,1,Non-biased,Somewhat factual but also opinionated,['categorically'],"{'vaccine', 'vowed', 'dominguez', 'received.', 'categorically', 'paloma', 'published', 'absolving'}","['cuba’s', 'health', 'ministry', 'initially', 'vowed', 'an', 'investigation', 'into', 'paloma', 'dominguez', 'caballero’s', 'death;', 'last', 'week,', 'state', 'media', 'published', 'a', 'report', 'essentially', 'absolving', 'the', 'government', 'of', 'any', 'wrongdoing,', 'categorically', 'stating', 'that', 'nothing', 'was', 'wrong', 'with', 'the', 'vaccine', 'dominguez', 'received.', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
17,"In other words, the agency responsible for protecting consumers now wants to make it easier for them to get stuck in a cycle of debt they can never repay.",huffpost,student-debt,left,1,1,Biased,No agreement,['stuck'],{'cycle'},"['in', 'other', 'words,', 'the', 'agency', 'responsible', 'for', 'protecting', 'consumers', 'now', 'wants', 'to', 'make', 'it', 'easier', 'for', 'them', 'to', 'get', 'stuck', 'in', 'a', 'cycle', 'of', 'debt', 'they', 'can', 'never', 'repay.', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
18,"Even as U.S. immigration officials have pushed to deport hundreds of Iraqi Christians over the last few years, asserting in court that they are unlikely to be targeted in their homeland, another arm of the Trump administration has insisted just the opposite, saying that Christians in Iraq face terror and extortion.",alternet,immigration,left,1,1,Non-biased,Entirely factual,[],"{'iraqi', 'asserting', 'deport', 'trump', 'christians'}","['even', 'as', 'u.s.', 'immigration', 'officials', 'have', 'pushed', 'to', 'deport', 'hundreds', 'of', 'iraqi', 'christians', 'over', 'the', 'last', 'few', 'years,', 'asserting', 'in', 'court', 'that', 'they', 'are', 'unlikely', 'to', 'be', 'targeted', 'in', 'their', 'homeland,', 'another', 'arm', 'of', 'the', 'trump', 'administration', 'has', 'insisted', 'just', 'the', 'opposite,', 'saying', 'that', 'christians', 'in', 'iraq', 'face', 'terror', 'and']"
19,"Although he didn’t seem to direct his comments at anyone in particular, many celebrities that consider themselves climate change activists have not adjusted their lifestyles of taking private jets to their engagements around the globe, for example, Leonardo DiCaprio, Katy Perry and Orlando Bloom all took heat in 2019 when they were among the A-listers to attend Google’s climate change conference by way of private jets and mega yachts.",fox-news,environment,right,1,1,Non-biased,Entirely factual,"['engagements', 'took', 'heat']","{'activists', 'adjusted', 'comments', 'lifestyles', 'bloom', 'celebrities', 'orlando', 'engagements', 'leonardo', 'perry'}","['although', 'he', 'didn’t', 'seem', 'to', 'direct', 'his', 'comments', 'at', 'anyone', 'in', 'particular,', 'many', 'celebrities', 'that', 'consider', 'themselves', 'climate', 'change', 'activists', 'have', 'not', 'adjusted', 'their', 'lifestyles', 'of', 'taking', 'private', 'jets', 'to', 'their', 'engagements', 'around', 'the', 'globe,', 'for', 'example,', 'leonardo', 'dicaprio,', 'katy', 'perry', 'and', 'orlando', 'bloom', 'all', 'took', 'heat', 'in', '2019', 'when']"
20,"A Catholic priest in Rhode Island who barred state lawmakers who supported an abortion rights bill from receiving communion at his church has doubled down on his stance, saying abortion is worse than pedophilia.",msnbc,abortion,left,2,1,Biased,Entirely factual,"['abortion', 'worse', 'than', 'pedophilia']","{'rhode', 'priest', 'barred', 'catholic', 'communion', 'doubled', 'lawmakers'}","['a', 'catholic', 'priest', 'in', 'rhode', 'island', 'who', 'barred', 'state', 'lawmakers', 'who', 'supported', 'an', 'abortion', 'rights', 'bill', 'from', 'receiving', 'communion', 'at', 'his', 'church', 'has', 'doubled', 'down', 'on', 'his', 'stance,', 'saying', 'abortion', 'is', 'worse', 'than', 'pedophilia.', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
21,Gwyneth Paltrow’s anti-vaxxer ally comes under fire for ‘discredited pseudo-scientific claims’ about coronavirus,alternet,vaccines,left,2,1,Biased,Somewhat factual but also opinionated,"['pseudo-scientific', 'anti-vaxxer', 'discredited']","{'coronavirus', 'gwyneth', 'about', 'comes', 'pseudo-scientific', 'under'}","['gwyneth', 'paltrow’s', 'anti-vaxxer', 'ally', 'comes', 'under', 'fire', 'for', '‘discredited', 'pseudo-scientific', 'claims’', 'about', 'coronavirus', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
22,"The taxpayer-funded BBC has announced that 16-year-old eco-warrior Greta Thunberg will be guest-editing the broadcaster’s flagship current affairs radio programme, the Today show.",breitbart,environment,right,2,1,Non-biased,Entirely factual,['eco-warrior'],"{'announced', 'greta', 'taxpayer-funded', 'eco-warrior', 'flagship', '16-year-old', 'radio'}","['the', 'taxpayer-funded', 'bbc', 'has', 'announced', 'that', '16-year-old', 'eco-warrior', 'greta', 'thunberg', 'will', 'be', 'guest-editing', 'the', 'broadcaster’s', 'flagship', 'current', 'affairs', 'radio', 'programme,', 'the', 'today', 'show.', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
23,"The German Federal State of Baden-Wuerttemberg is seeking damages from Volkswagen after local authorities purchased VW diesel vehicles which now face bans in cities like Stuttgart, Frankfurter Allgemeine Zeitung said on Saturday.",reuters,environment,center,2,1,Non-biased,Entirely factual,[],"{'german', 'purchased', 'zeitung', 'allgemeine', 'vehicles', 'frankfurter', 'damages', 'volkswagen', 'diesel'}","['the', 'german', 'federal', 'state', 'of', 'baden-wuerttemberg', 'is', 'seeking', 'damages', 'from', 'volkswagen', 'after', 'local', 'authorities', 'purchased', 'vw', 'diesel', 'vehicles', 'which', 'now', 'face', 'bans', 'in', 'cities', 'like', 'stuttgart,', 'frankfurter', 'allgemeine', 'zeitung', 'said', 'on', 'saturday.', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
24,"More than 100 gang members from El Salvador are among the massive wave of migrants that's poured across the border in recent months, with nearly 400 illegal immigrants nabbed trying to cross en masse last week and a group of more than 100 caught scaling a wall Monday, beleaguered border officials said.",fox-news,immigration,right,2,1,Biased,No agreement,"['gang', 'beleaguered', 'massive', 'wave']","{'migrants', 'poured', 'border', 'scaling', 'nabbed', ""that's"", 'masse', 'beleaguered', 'salvador'}","['more', 'than', '100', 'gang', 'members', 'from', 'el', 'salvador', 'are', 'among', 'the', 'massive', 'wave', 'of', 'migrants', ""that's"", 'poured', 'across', 'the', 'border', 'in', 'recent', 'months,', 'with', 'nearly', '400', 'illegal', 'immigrants', 'nabbed', 'trying', 'to', 'cross', 'en', 'masse', 'last', 'week', 'and', 'a', 'group', 'of', 'more', 'than', '100', 'caught', 'scaling', 'a', 'wall', 'monday,', 'beleaguered', 'border']"
25,Gadsby's work is a testament to how eagerly the arbiters of our culture will devour and elevate work that convincingly purports to be progressive.,federalist,vaccines,right,2,1,Biased,Expresses writer’s opinion,"['elevate', 'testament', 'devour', 'convincingly']","{'purports', 'devour', 'elevate', 'eagerly', 'convincingly', 'arbiters'}","[""gadsby's"", 'work', 'is', 'a', 'testament', 'to', 'how', 'eagerly', 'the', 'arbiters', 'of', 'our', 'culture', 'will', 'devour', 'and', 'elevate', 'work', 'that', 'convincingly', 'purports', 'to', 'be', 'progressive.', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
26,That’s led some vaccine foes to join the protesters — whom Trump has encouraged on Twitter — in staging demonstrations in state capitals to “reopen America.”,alternet,vaccines,left,2,1,Biased,Entirely factual,"['foes', 'encouraged']","{'vaccine', 'twitter', 'staging', 'demonstrations', 'protesters', 'trump', 'capitals'}","['that’s', 'led', 'some', 'vaccine', 'foes', 'to', 'join', 'the', 'protesters', '—', 'whom', 'trump', 'has', 'encouraged', 'on', 'twitter', '—', 'in', 'staging', 'demonstrations', 'in', 'state', 'capitals', 'to', '“reopen', 'america.”', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
27,"Mississippi’s Republican governor signed one of America’s strictest abortion bills on Thursday banning women from obtaining an abortion once a fetal heartbeat is detected, which can often occur before a woman even realizes she is pregnant.",reuters,abortion,center,2,1,No agreement,Entirely factual,"['strictest', 'abortion', 'bills']","{'fetal', 'heartbeat', 'pregnant.', 'strictest', 'republican', 'thursday', 'signed', 'governor', 'banning'}","['mississippi’s', 'republican', 'governor', 'signed', 'one', 'of', 'america’s', 'strictest', 'abortion', 'bills', 'on', 'thursday', 'banning', 'women', 'from', 'obtaining', 'an', 'abortion', 'once', 'a', 'fetal', 'heartbeat', 'is', 'detected,', 'which', 'can', 'often', 'occur', 'before', 'a', 'woman', 'even', 'realizes', 'she', 'is', 'pregnant.', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
28,"That’s why white nationalists, who are enthusiasts for the abortion of black and brown people, despise pro-lifers, as anyone reporting in good faith should know.",federalist,abortion,right,2,1,Biased,Expresses writer’s opinion,"['enthusiasts', 'black', 'despise', 'pro-lifers', 'abortion']","{'despise', 'enthusiasts', 'brown'}","['that’s', 'why', 'white', 'nationalists,', 'who', 'are', 'enthusiasts', 'for', 'the', 'abortion', 'of', 'black', 'and', 'brown', 'people,', 'despise', 'pro-lifers,', 'as', 'anyone', 'reporting', 'in', 'good', 'faith', 'should', 'know.', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
29,President Donald Trump ridiculed former Secretary of State Colin Powell on Sunday for endorsing former Vice President Joe Biden for president.,breitbart,elections-2020,right,2,1,No agreement,Entirely factual,['ridiculed'],"{'secretary', 'donald', 'colin', 'biden', 'president.', 'sunday', 'endorsing', 'ridiculed', 'trump', 'powell'}","['president', 'donald', 'trump', 'ridiculed', 'former', 'secretary', 'of', 'state', 'colin', 'powell', 'on', 'sunday', 'for', 'endorsing', 'former', 'vice', 'president', 'joe', 'biden', 'for', 'president.', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
30,"Biden was particularly critical of Trump’s visit on Monday to a historic church across from the White House, which was preceded by law enforcement authorities dispersing a crowd near the church with smoke canisters and flash grenades.",reuters,elections-2020,center,2,1,Biased,Entirely factual,['critical'],"{'dispersing', 'biden', 'preceded', 'monday', 'flash', 'canisters'}","['biden', 'was', 'particularly', 'critical', 'of', 'trump’s', 'visit', 'on', 'monday', 'to', 'a', 'historic', 'church', 'across', 'from', 'the', 'white', 'house,', 'which', 'was', 'preceded', 'by', 'law', 'enforcement', 'authorities', 'dispersing', 'a', 'crowd', 'near', 'the', 'church', 'with', 'smoke', 'canisters', 'and', 'flash', 'grenades.', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
